time,sensor,id,detect,read,measure,share,visit,detectHerald,delete,data
2022-11-29 22:21:56.552+0000,BLE,7B:AC:AC:34:E9:4A,1,,,,,,,
2022-11-29 22:22:16.012+0000,BLE,5C:DF:39:61:03:9D,1,,,,,,,
2022-11-29 22:22:16.015+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-47.0
2022-11-29 22:22:16.110+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:16.286+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-48.0
2022-11-29 22:22:16.427+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:16.556+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-48.0
2022-11-29 22:22:16.616+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:16.789+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:16.852+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-48.0
2022-11-29 22:22:16.974+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:17.115+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-48.0
2022-11-29 22:22:17.175+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:17.381+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-47.0
2022-11-29 22:22:17.526+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:17.583+0000,BLE,DD:A2:DB:41:63:D4,1,,,,,,,
2022-11-29 22:22:17.586+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:17.661+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-47.0
2022-11-29 22:22:17.709+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:17.893+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:18.076+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:18.259+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:18.443+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:18.486+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-47.0
2022-11-29 22:22:18.627+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:18.813+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-38.0
2022-11-29 22:22:18.999+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-38.0
2022-11-29 22:22:19.034+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-45.0
2022-11-29 22:22:19.183+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:19.299+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-45.0
2022-11-29 22:22:19.366+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-39.0
2022-11-29 22:22:19.564+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-38.0
2022-11-29 22:22:19.589+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-47.0
2022-11-29 22:22:19.596+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-38.0
2022-11-29 22:22:19.738+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-38.0
2022-11-29 22:22:19.851+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-50.0
2022-11-29 22:23:38.687+0000,BLE,6F:A6:53:5A:CF:37,1,,,,,,,
2022-11-29 22:23:38.689+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:38.696+0000,BLE,7B:AC:AC:34:E9:4A,1,,,,,,,
2022-11-29 22:23:38.699+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-48.0
2022-11-29 22:23:38.760+0000,BLE,69:2C:DD:A6:20:30,1,,,,,,,
2022-11-29 22:23:38.763+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:38.786+0000,BLE,74:26:75:8F:1B:6D,1,,,,,,,
2022-11-29 22:23:38.789+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:38.791+0000,BLE,5F:2F:8E:E8:10:4A,1,,,,,,,
2022-11-29 22:23:38.793+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:38.829+0000,BLE,48:E3:0D:5F:D1:C4,1,,,,,,,
2022-11-29 22:23:38.833+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:38.851+0000,BLE,44:6D:70:BD:20:F4,1,,,,,,,
2022-11-29 22:23:38.855+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:38.897+0000,BLE,DD:A2:DB:41:63:D4,1,,,,,,,
2022-11-29 22:23:38.899+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-48.0
2022-11-29 22:23:38.902+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-48.0
2022-11-29 22:23:38.925+0000,BLE,44:10:CB:50:51:F2,1,,,,,,,
2022-11-29 22:23:38.926+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:38.971+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-70.0
2022-11-29 22:23:39.015+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:39.019+0000,BLE,5C:DF:39:61:03:9D,1,,,,,,,
2022-11-29 22:23:39.021+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-58.0
2022-11-29 22:23:39.050+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:39.052+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:39.070+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-48.0
2022-11-29 22:23:39.128+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:39.131+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:39.233+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-48.0
2022-11-29 22:23:39.281+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:39.331+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-58.0
2022-11-29 22:23:39.335+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:39.364+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:39.426+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:39.429+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-70.0
2022-11-29 22:23:39.431+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-48.0
2022-11-29 22:23:39.479+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:39.520+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:39.557+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-69.0
2022-11-29 22:23:39.582+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-58.0
2022-11-29 22:23:39.611+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-48.0
