testid,date,phoneaname,phonebname,distfrom,distto,diststep,durationmins,filenamephonea,filenamephoneb
1,20200101,Denmark,P2,0,200,20,30,,20210101-1938-B.csv
2,20200102,Denmark,P2,0,200,20,30,,20210102-1128-B.csv
3,20200102,Denmark,P2,0,200,20,30,,20210102-1800-B.csv
4,20200103,J6,A20,0,200,20,30,20210103-1026-A.csv,20210103-1026-B.csv
5,20200104,P2,A20,0,300,25,30,20210104-1422-A.csv,20210104-1422-B.csv
6,20210105,A10,A20,0,300,25,30,20210105-1754-A.csv,20210105-1754-B.csv
7,20210106,N8,P2,0,300,25,30,20210106-0815-A.csv,20210106-0815-B.csv
8,20210106,N8,P2,0,300,20,30,20210106-1501-A.csv,20210106-1501-B.csv
9,20210106,N8,P2,0,300,20,30,20210106-2251-A.csv,20210106-2251-B.csv
10,20210107,A10,A20,0,300,10,20,20210107-1123-A.csv,20210107-1123-B.csv
11,20210107,Denmark,P2,0,300,10,20,20210107-2245-A.csv,20210107-2245-B.csv
12,20210108,Denmark,Germany,0,300,10,20,20210108-1423-A.csv,20210108-1423-B.csv
13,20210109,Denmark,Germany,0,300,10,20,20210109-2342-A.csv,20210109-2342-B.csv
14,20210110,A20,P2,0,300,10,20,20210110-2247-A.csv,20210110-2247-B.csv
15,20210111,Netherlands,Germany,0,300,10,20,20210111-1015-A.csv,20210111-1015-B.csv
16,20210111,A10,A20,0,300,10,20,20210111-2252-A.csv,20210111-2252-B.csv
17,20210112,P2,A10,0,300,10,20,20210112-2303-A.csv,20210112-2303-B.csv
18,20210113,Netherlands,Denmark,0,300,10,20,20210113-2034-A.csv,20210113-2034-B.csv
19,20210305,Netherlands,Denmark,0,150,1,10,20210305-0958-A.csv,20210305-0958-B.csv
20,20210306,Netherlands,Denmark,100,250,1,10,20210306-1803-A.csv,20210306-1803-B.csv
21,20210308,Netherlands,Denmark,200,350,1,10,20210308-0922-A.csv,20210308-0922-B.csv
22,20210309,Netherlands,Denmark,0,320,1,5,20210309-1437-A.csv,20210309-1437-B.csv
23,20210311,P2,A20,0,340,1,4,20210311-0901-A.csv,20210311-0901-B.csv
24,20210312,P2,P3,0,340,1,4,20210312-1049-A.csv,20210312-1049-B.csv
25,20210313,6S+,8+,0,340,1,4,20210313-1005-A.csv,20210313-1005-B.csv
26,20210314,Netherlands,P3,0,340,1,4,20210314-1021-A.csv,20210314-1021-B.csv
