name,model,os,osversion,notes
4S,Apple iPhone 4S,iOS,9.3.5,Battery drains unusually fast due to age
Germany,Apple iPhone 5S,iOS,12.3  ,Battery drains unusually fast due to age
Denmark,Apple iPhone 6S,iOS,12.1.4,Battery drains unusually fast due to age
Netherlands,Apple iPhone 6 Plus,iOS,12.4.9,
X,Apple iPhone X,iOS,14.2,
P2,Google Pixel 2,Android,29,Battery drains unusually fast due to age
P3,Google Pixel 3,Android,30,Operating System is Android 12 Developer Preview
J6,Samsung J6,Android,28,BLE advertising and accelerometer unsupported
A10,Samsung A10,Android,28,BLE address rotates every few seconds
A20,Samsung A20,Android,29,BLE address rotates every few seconds
N8,Samsung Note 8,Android,28,BLE address rotates every few seconds
