"","shortname","windows","seenby","scorepct","deltacewindowspct"
"1","3 - SM-A405FN - Android 29",4,"1 - Pixel 3 XL - Android 29",6.66666666666667,93.3333333333333
"2","4 - SM-A705FN - Android 29",4,"1 - Pixel 3 XL - Android 29",6.66666666666667,93.3333333333333
"3","5 - Adam’s work iPhone - iOS 13.6",2,"1 - Pixel 3 XL - Android 29",3.33333333333333,96.6666666666667
"4","1 - Pixel 3 XL - Android 29",34,"2 - SM-A105FN - Android 28",56.6666666666667,43.3333333333333
"5","3 - SM-A405FN - Android 29",27,"2 - SM-A105FN - Android 28",45,55
"6","4 - SM-A705FN - Android 29",34,"2 - SM-A105FN - Android 28",56.6666666666667,43.3333333333333
"7","5 - Adam’s work iPhone - iOS 13.6",44,"2 - SM-A105FN - Android 28",73.3333333333333,26.6666666666667
"8","4 - SM-A705FN - Android 29",6,"3 - SM-A405FN - Android 29",10,90
"9","5 - Adam’s work iPhone - iOS 13.6",5,"3 - SM-A405FN - Android 29",8.33333333333333,91.6666666666667
"10","5 - Adam’s work iPhone - iOS 13.6",10,"4 - SM-A705FN - Android 29",16.6666666666667,83.3333333333333
"11","1 - Pixel 3 XL - Android 29",60,"5 - Adam’s work iPhone - iOS 13.6",100,0
"12","2 - SM-A105FN - Android 28",60,"5 - Adam’s work iPhone - iOS 13.6",100,0
"13","3 - SM-A405FN - Android 29",58,"5 - Adam’s work iPhone - iOS 13.6",96.6666666666667,3.33333333333333
"14","4 - SM-A705FN - Android 29",60,"5 - Adam’s work iPhone - iOS 13.6",100,0
