time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:07:50,BLE,0970AA70-5F03-7F07-3D78-3817F0F35D77,1,,,,,
2020-08-11 20:07:50,BLE,0970AA70-5F03-7F07-3D78-3817F0F35D77,,,3,,,RSSI:-77.0
2020-08-11 20:07:58,BLE,0970AA70-5F03-7F07-3D78-3817F0F35D77,,,3,,,RSSI:-73.0
2020-08-11 20:07:59,BLE,0970AA70-5F03-7F07-3D78-3817F0F35D77,,2,,,,AayC8A
2020-08-11 20:07:59,BLE,03F35792-BFAC-0BBB-98DA-570CD42F83E4,1,,,,,
2020-08-11 20:07:59,BLE,03F35792-BFAC-0BBB-98DA-570CD42F83E4,,,3,,,RSSI:-73.0
2020-08-11 20:08:06,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,1,,,,,
2020-08-11 20:08:06,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-89.0
2020-08-11 20:08:14,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-82.0
2020-08-11 20:08:15,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,2,,,,mL6p9g
2020-08-11 20:08:15,BLE,03F35792-BFAC-0BBB-98DA-570CD42F83E4,,,3,,,RSSI:-69.0
2020-08-11 20:08:16,BLE,03F35792-BFAC-0BBB-98DA-570CD42F83E4,,2,,,,AayC8A
2020-08-11 20:08:17,BLE,731671E0-EE26-7F21-1A37-18CEDBDDB1BC,1,,,,,
2020-08-11 20:08:17,BLE,731671E0-EE26-7F21-1A37-18CEDBDDB1BC,,,3,,,RSSI:-80.0
2020-08-11 20:08:26,BLE,731671E0-EE26-7F21-1A37-18CEDBDDB1BC,,,3,,,RSSI:-73.0
2020-08-11 20:08:27,BLE,731671E0-EE26-7F21-1A37-18CEDBDDB1BC,,2,,,,AayC8A
2020-08-11 20:08:27,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-89.0
2020-08-11 20:08:27,BLE,9CDB9F98-35AF-600C-11C6-B5D70CC0D8EA,1,,,,,
2020-08-11 20:08:27,BLE,9CDB9F98-35AF-600C-11C6-B5D70CC0D8EA,,,3,,,RSSI:-80.0
2020-08-11 20:08:28,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,,4,,
2020-08-11 20:08:34,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,1,,,,,
2020-08-11 20:08:34,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-87.0
2020-08-11 20:08:38,BLE,A6759FA3-E096-2692-9ED4-121CFE7F97DC,1,,,,,
2020-08-11 20:08:47,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-88.0
2020-08-11 20:08:47,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-83.0
2020-08-11 20:08:47,BLE,9CDB9F98-35AF-600C-11C6-B5D70CC0D8EA,,,3,,,RSSI:-71.0
2020-08-11 20:08:48,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,2,,,,PhkrGA
2020-08-11 20:08:48,BLE,9CDB9F98-35AF-600C-11C6-B5D70CC0D8EA,,2,,,,AayC8A
2020-08-11 20:08:48,BLE,A38BA06D-8D86-D61F-309F-D9BCED2EDD8C,1,,,,,
2020-08-11 20:08:48,BLE,A38BA06D-8D86-D61F-309F-D9BCED2EDD8C,,,3,,,RSSI:-72.0
2020-08-11 20:08:56,BLE,A38BA06D-8D86-D61F-309F-D9BCED2EDD8C,,,3,,,RSSI:-77.0
2020-08-11 20:08:57,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-92.0
2020-08-11 20:08:57,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-90.0
2020-08-11 20:08:58,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,,4,,
2020-08-11 20:08:58,BLE,A38BA06D-8D86-D61F-309F-D9BCED2EDD8C,,2,,,,AayC8A
2020-08-11 20:08:59,BLE,7A9E9190-6DFB-4F71-7AD0-BD34AEA4ACFA,1,,,,,
2020-08-11 20:08:59,BLE,7A9E9190-6DFB-4F71-7AD0-BD34AEA4ACFA,,,3,,,RSSI:-73.0
2020-08-11 20:09:07,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-87.0
2020-08-11 20:09:08,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-83.0
2020-08-11 20:09:08,BLE,7A9E9190-6DFB-4F71-7AD0-BD34AEA4ACFA,,,3,,,RSSI:-70.0
2020-08-11 20:09:09,BLE,7A9E9190-6DFB-4F71-7AD0-BD34AEA4ACFA,,2,,,,AayC8A
2020-08-11 20:09:10,BLE,33FCE82B-C2B1-5292-462B-7D7A828BF02D,1,,,,,
2020-08-11 20:09:10,BLE,33FCE82B-C2B1-5292-462B-7D7A828BF02D,,,3,,,RSSI:-79.0
2020-08-11 20:09:14,BLE,A6759FA3-E096-2692-9ED4-121CFE7F97DC,,,3,,,RSSI:-61.0
2020-08-11 20:09:15,BLE,A6759FA3-E096-2692-9ED4-121CFE7F97DC,,2,,,,mL6p9g
2020-08-11 20:09:17,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,1,,,,,
2020-08-11 20:09:17,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-71.0
2020-08-11 20:09:25,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-89.0
2020-08-11 20:09:25,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,1,,,,,
2020-08-11 20:09:25,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-94.0
2020-08-11 20:09:25,BLE,33FCE82B-C2B1-5292-462B-7D7A828BF02D,,,3,,,RSSI:-82.0
2020-08-11 20:09:26,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-85.0
2020-08-11 20:09:26,BLE,33FCE82B-C2B1-5292-462B-7D7A828BF02D,,2,,,,AayC8A
2020-08-11 20:09:27,BLE,1603BDFE-E399-6D17-DF23-6EBD22446A0B,1,,,,,
2020-08-11 20:09:27,BLE,1603BDFE-E399-6D17-DF23-6EBD22446A0B,,,3,,,RSSI:-73.0
