datetime,payload,devicename,os,osver
2020-08-10 16:20:57,+JKNCgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:00,mL6p9gAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:02,PhkrGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:03,+JKNCgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:13,PhkrGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:13,mL6p9gAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:15,+JKNCgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:16,+JKNCgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:24,AzpmMX6HdB9joJ9Un39fPXQDkdQefa0ied3VBqXenKAspDb/nxFuoWxnhYSRiptCb3z6ZqsAOcwQJCibjzEbnh8k5tE8OWeJS4o+2HpH66mxdDKKerJGUHfa1rBRl9Vy8VTnZzxXHGjGGb23AF8xZfTna43Af4c3LbtqU0FdwAjD,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:32,AzpmMX6HdB9joJ9Un39fPXQDkdQefa0ied3VBqXenKAspDb/nxFuoWxnhYSRiptCb3z6ZqsAOcwQJCibjzEbnh8k5tE8OWeJS4o+2HpH66mxdDKKerJGUHfa1rBRl9Vy8VTnZzxXHGjGGb23AF8xZfTna43Af4c3LbtqU0FdwAjD,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:32,AzpmMX6HdB9joJ9Un39fPXQDkdQefa0ied3VBqXenKAspDb/nxFuoWxnhYSRiptCb3z6ZqsAOcwQJCibjzEbnh8k5tE8OWeJS4o+2HpH66mxdDKKerJGUHfa1rBRl9Vy8VTnZzxXHGjGGb23AF8xZfTna43Af4c3LbtqU0FdwAjD,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:32,Ku1nMgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:32,Ku1nMgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:32,mL6p9gAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:33,+JKNCgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
2020-08-10 16:21:35,+JKNCgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Adam’s work iPhone,iOS,13.6
